HEROMOTOCO,2024-08-16,5120,5138.95,5020.05,5128.1,679493
ICICIGI,2024-08-16,2003.25,2046.8,1976.95,2036.7,1194117
MIDCAPIETF,2024-08-16,21.85,22,21.47,21.87,580093
M&MFIN,2024-08-16,288.75,296.5,288.1,295.85,859734
PNBHOUSING,2024-08-16,835,838.9,821.7,824.6,721549
SAGARDEEP,2024-08-16,29.03,29.03,27.9,28.62,5805
TAJGVK,2024-08-16,309,316,303.45,308.9,135517
TV18BRDCST,2024-08-16,45.6,46.6,45.3,45.87,9169321
WIPRO,2024-08-16,501,517.45,497.95,516.25,12965570
BAYERCROP,2024-08-16,6230.1,6333.25,6044,6158.7,49232
BBOX,2024-08-16,503.95,523.8,481,520.7,261527
HPIL,2024-08-16,148.54,148.57,142.1,145.22,968
INDIANHUME,2024-08-16,505.75,514.3,496.7,509.4,95723
JUNIORBEES,2024-08-16,773.5,779,767,776.46,207434
SAGCEM,2024-08-16,225.2,228.97,222.88,227.47,55928
STARCEMENT,2024-08-16,212.45,214.24,209.75,211.99,382322
STEELXIND,2024-08-16,12.98,13,12.86,12.96,1396483
STYRENIX,2024-08-16,2492.7,2609.9,2492.7,2549.25,52147
ZYDUSWELL,2024-08-16,2230,2244.35,2205,2225.3,20975
PREMIERPOL,2024-08-16,204.5,207.5,202.19,206.21,26480
RATNAMANI,2024-08-16,3523.4,3536.8,3479.75,3509.05,41172
TCS,2024-08-16,4350,4427,4325.1,4416.05,3457058
DEEPAKFERT,2024-08-16,965.75,971.75,945,950.45,638704
GODHA,2024-08-16,0.93,0.95,0.91,0.93,2977105
HINDOILEXP,2024-08-16,254.2,254.8,247.95,251.4,1569506
KAKATCEM,2024-08-16,231,231,224.02,226.32,3872
KRITIKA,2024-08-16,19.06,19.35,18.8,19.07,222095
MONTECARLO,2024-08-16,663,671.6,641.15,646.9,53554
PSUBNKBEES,2024-08-16,75.8,76.46,75.51,76.2,1931254
TATAELXSI,2024-08-16,6827.9,6875,6756,6799.65,63779
ALBERTDAVD,2024-08-16,1142,1169,1134.05,1164.2,10070
CHOICEIN,2024-08-16,393.95,395.45,389.3,392.8,527992
ITIETF,2024-08-16,42.72,43.79,42.68,43.75,1445892
JITFINFRA,2024-08-16,1069,1090,1005.1,1038.3,112454
KRBL,2024-08-16,285.3,296.1,285.3,293.5,1054444
POLICYBZR,2024-08-16,1585,1700,1562.05,1691.95,3054093
RATEGAIN,2024-08-16,725.5,745.85,722,739.85,258803
SVLL,2024-08-16,211.39,218.69,208,213.32,3302
DCAL,2024-08-16,172,176.45,171.8,175.05,666344
ECLERX,2024-08-16,2402.15,2509.8,2402.15,2487.35,96577
EMMBI,2024-08-16,101.15,103.28,101.03,101.97,24042
